frame=29700 dt_p50=12682 dt_p95=17362 fps_p50=78.9 draws_p50=106 draw_p50_us=946
frame=30000 dt_p50=12140 dt_p95=16151 fps_p50=82.4 draws_p50=106 draw_p50_us=940
frame=30300 dt_p50=12177 dt_p95=16287 fps_p50=82.1 draws_p50=123 draw_p50_us=1108
frame=30600 dt_p50=11574 dt_p95=16280 fps_p50=86.4 draws_p50=102 draw_p50_us=945
frame=30900 dt_p50=12369 dt_p95=16114 fps_p50=80.8 draws_p50=102 draw_p50_us=902
frame=31200 dt_p50=12193 dt_p95=15783 fps_p50=82.0 draws_p50=106 draw_p50_us=924
frame=31500 dt_p50=12293 dt_p95=16000 fps_p50=81.3 draws_p50=106 draw_p50_us=930
frame=31800 dt_p50=12761 dt_p95=16541 fps_p50=78.4 draws_p50=106 draw_p50_us=928
frame=32100 dt_p50=12447 dt_p95=16303 fps_p50=80.3 draws_p50=108 draw_p50_us=952
frame=32400 dt_p50=12547 dt_p95=16366 fps_p50=79.7 draws_p50=109 draw_p50_us=961
frame=32700 dt_p50=12116 dt_p95=15832 fps_p50=82.5 draws_p50=109 draw_p50_us=958
frame=33000 dt_p50=12703 dt_p95=16387 fps_p50=78.7 draws_p50=115 draw_p50_us=998
frame=33300 dt_p50=12841 dt_p95=16079 fps_p50=77.9 draws_p50=115 draw_p50_us=1000
frame=33600 dt_p50=12909 dt_p95=16342 fps_p50=77.5 draws_p50=117 draw_p50_us=1021
frame=33900 dt_p50=11126 dt_p95=15503 fps_p50=89.9 draws_p50=84 draw_p50_us=732
frame=34200 dt_p50=9714 dt_p95=14814 fps_p50=102.9 draws_p50=84 draw_p50_us=757
frame=34500 dt_p50=10253 dt_p95=24534 fps_p50=97.5 draws_p50=84 draw_p50_us=764
frame=34800 dt_p50=10648 dt_p95=13710 fps_p50=93.9 draws_p50=85 draw_p50_us=752
frame=35100 dt_p50=10781 dt_p95=14371 fps_p50=92.8 draws_p50=84 draw_p50_us=748
frame=35400 dt_p50=10916 dt_p95=15787 fps_p50=91.6 draws_p50=84 draw_p50_us=748
frame=35700 dt_p50=10745 dt_p95=21410 fps_p50=93.1 draws_p50=86 draw_p50_us=736
frame=36000 dt_p50=10334 dt_p95=12796 fps_p50=96.8 draws_p50=84 draw_p50_us=737
frame=36300 dt_p50=11705 dt_p95=16162 fps_p50=85.4 draws_p50=118 draw_p50_us=1026
frame=36600 dt_p50=11763 dt_p95=16452 fps_p50=85.0 draws_p50=118 draw_p50_us=1042
frame=36900 dt_p50=11635 dt_p95=16504 fps_p50=85.9 draws_p50=118 draw_p50_us=1035
windows=123 median of dt_p50 (excl. first)=14895.5 us; median draws_p50=162.0
