absent near-centre frames 1925
1554 angle=22.3 r=0.469 p11=1.7778 esg_row=1
1555 angle=22.2 r=0.467 p11=1.7778 esg_row=1
1556 angle=22.1 r=0.464 p11=1.7778 esg_row=1
1557 angle=22.0 r=0.462 p11=1.7778 esg_row=1
1558 angle=21.9 r=0.459 p11=1.7778 esg_row=1
1559 angle=21.8 r=0.456 p11=1.7778 esg_row=1
1560 angle=21.6 r=0.453 p11=1.7778 esg_row=1
1561 angle=21.5 r=0.449 p11=1.7778 esg_row=1
1562 angle=21.4 r=0.446 p11=1.7778 esg_row=1
1563 angle=21.2 r=0.442 p11=1.7778 esg_row=1
1564 angle=21.1 r=0.438 p11=1.7778 esg_row=1
1565 angle=20.9 r=0.434 p11=1.7778 esg_row=1
1566 angle=20.8 r=0.430 p11=1.7778 esg_row=1
1567 angle=20.6 r=0.425 p11=1.7778 esg_row=1
1568 angle=20.4 r=0.421 p11=1.7778 esg_row=1
1569 angle=20.2 r=0.416 p11=1.7778 esg_row=1
1570 angle=20.0 r=0.411 p11=1.7778 esg_row=1
1571 angle=19.8 r=0.406 p11=1.7778 esg_row=1
1572 angle=19.6 r=0.400 p11=1.7778 esg_row=1
1573 angle=19.4 r=0.394 p11=1.7778 esg_row=1
1574 angle=19.1 r=0.388 p11=1.7778 esg_row=1
1575 angle=18.9 r=0.383 p11=1.7778 esg_row=1
1576 angle=18.7 r=0.377 p11=1.7778 esg_row=1
1577 angle=18.4 r=0.371 p11=1.7778 esg_row=1
1578 angle=18.2 r=0.364 p11=1.7778 esg_row=1
1579 angle=18.0 r=0.358 p11=1.7778 esg_row=1
1580 angle=17.7 r=0.351 p11=1.7778 esg_row=1
1581 angle=17.5 r=0.345 p11=1.7778 esg_row=1
1582 angle=17.3 r=0.338 p11=1.7778 esg_row=1
1583 angle=17.1 r=0.331 p11=1.7778 esg_row=1
1584 angle=16.8 r=0.324 p11=1.7778 esg_row=1
1585 angle=16.6 r=0.317 p11=1.7778 esg_row=1
1586 angle=16.3 r=0.307 p11=1.7778 esg_row=1
1587 angle=15.8 r=0.292 p11=1.7778 esg_row=1
1588 angle=15.6 r=0.284 p11=1.7778 esg_row=1
1589 angle=15.4 r=0.277 p11=1.7778 esg_row=1
1590 angle=15.2 r=0.269 p11=1.7778 esg_row=1
1591 angle=15.0 r=0.262 p11=1.7778 esg_row=1
1592 angle=14.8 r=0.253 p11=1.7778 esg_row=1
1693 angle=12.4 r=0.110 p11=1.7778 esg_row=1
1694 angle=12.4 r=0.110 p11=1.7778 esg_row=1
1695 angle=12.4 r=0.110 p11=1.7778 esg_row=1
1696 angle=12.4 r=0.110 p11=1.7778 esg_row=1
