  15 draws   20708 prim model=00004f7e cam=0ba8 ovl=0 ctxlod=[0] lods=4 thr=100000,30,15,5 nodes=1+0nocensus s=38,d=8965017,r=534080,lod=0,kept body=ships\split\split_M2
  10 draws    5698 prim model=00005534 cam=0ba8 ovl=0 ctxlod=[1] lods=4 thr=100000,30,15,5 nodes=1+0nocensus s=5,d=5637145,r=45416,lod=1,kept body=ships\mm6\split_mm6
   8 draws    2560 prim model=00005421 cam=0ba8 ovl=0 ctxlod=[0] lods=1 thr=100000 nodes=8+0nocensus s=6,d=15612374,r=150314,lod=0,kept s=6,d=15614511,r=150314,lod=0,kept s=6,d=15958604,r=150314,lod=0,kept body=stations\connections\connect_argon_pipe_huge_cargoanimA_
   8 draws    1300 prim model=00000000 cam=0000 ovl=0 ctxlod=[0] no census row nodes=0+1nocensus  body=-
   6 draws   10362 prim model=00004a88 cam=0ba8 ovl=0 ctxlod=[0] lods=4 thr=100000,30,15,5 nodes=6+0nocensus s=45,d=17242,r=1236,lod=0,kept s=45,d=17245,r=1236,lod=0,kept s=51,d=15458,r=1236,lod=0,kept body=ships\props\weapondummy
   6 draws    3264 prim model=00004e37 cam=0ba8 ovl=0 ctxlod=[1] lods=4 thr=100000,30,15,5 nodes=6+0nocensus s=7,d=1462293,r=17920,lod=1,kept s=7,d=1476911,r=17920,lod=1,kept s=7,d=1491794,r=17920,lod=1,kept body=ships\props\bigturret_leftweapon
   4 draws    3968 prim model=000050e9 cam=1340 ovl=0 ctxlod=[0] lods=1 thr=100000 nodes=1+0nocensus s=117440512,d=0,r=5000000,lod=0,kept body=environments\nebulae\greenvoid\nebula_greenvoid_background_01
   4 draws   32022 prim model=000053ab cam=0ba8 ovl=1 ctxlod=[1] lods=3 thr=100000,30,155 nodes=2+0nocensus s=8,d=11224190,r=150032,lod=1,kept s=26,d=3608111,r=150032,lod=1,kept body=stations\living_sections\argon_livingsection
   4 draws    2172 prim model=00004e38 cam=0ba8 ovl=0 ctxlod=[1] lods=4 thr=100000,30,15,5 nodes=4+0nocensus s=7,d=1462293,r=17920,lod=1,kept s=7,d=1491794,r=17920,lod=1,kept s=7,d=1492192,r=17920,lod=1,kept body=ships\props\bigturret_rightweapon
   4 draws   73749 prim model=000053b8 cam=0ba8 ovl=1 ctxlod=[1] lods=3 thr=100000,30,150 nodes=1+0nocensus s=142,d=10110202,r=2246786,lod=1,kept body=Stations\others\military_outpost_middleb
